1                       ,16  ,34
Schloßweg               ,    ,6.02,6.54,8.02,9.02,10.02,11.02,12.02,13.02,14.02,15.02,16.02,17.02,18.02,19.02,7.02,8.02,9.02,10.02,11.02,12.02,13.02,14.02,15.02,     ,16.17,17.17,18.17,19.02,     ,     ,     ,     ,    ,9.17 ,10.17,11.17,12.17,13.17,14.17,15.17,16.17,17.17,     ,
Seligenweg              ,    ,6.03,6.55,8.03,9.03,10.03,11.03,12.03,13.03,14.03,15.03,16.03,17.03,18.03,19.03,7.03,8.03,9.03,10.03,11.03,12.03,13.03,14.03,15.03,     ,16.18,17.18,18.18,19.03,     ,     ,     ,     ,    ,9.18 ,10.18,11.18,12.18,13.18,14.18,15.18,16.18,17.18,     ,
Lessingstraße           ,    ,6.04,6.56,8.04,9.04,10.04,11.04,12.04,13.04,14.04,15.04,16.04,17.04,18.04,19.04,7.04,8.04,9.04,10.04,11.04,12.04,13.04,14.04,15.04,     ,16.19,17.19,18.19,19.04,     ,     ,     ,     ,    ,9.19 ,10.19,11.19,12.19,13.19,14.19,15.19,16.19,17.19,     ,
Karolinenstraße         ,    ,6.05,6.57,8.05,9.05,10.05,11.05,12.05,13.05,14.05,15.05,16.05,17.05,18.05,19.05,7.05,8.05,9.05,10.05,11.05,12.05,13.05,14.05,15.05,     ,16.20,17.20,18.20,19.05,     ,     ,     ,     ,    ,9.20 ,10.20,11.20,12.20,13.20,14.20,15.20,16.20,17.20,     ,
Unteres Tor             ,    ,6.06,6.58,8.06,9.06,10.06,11.06,12.06,13.06,14.06,15.06,16.06,17.06,18.06,19.06,7.06,8.06,9.06,10.06,11.06,12.06,13.06,14.06,15.06,     ,16.21,17.21,18.21,19.06,     ,     ,     ,     ,    ,9.21 ,10.21,11.21,12.21,13.21,14.21,15.21,16.21,17.21,     ,
Rathaus                 ,    ,6.07,6.59,8.07,9.07,10.07,11.07,12.07,13.07,14.07,15.07,16.07,17.07,18.07,19.07,7.07,8.07,9.07,10.07,11.07,12.07,13.07,14.07,15.07,     ,16.22,17.22,18.22,19.07,     ,     ,     ,     ,    ,9.22 ,10.22,11.22,12.22,13.22,14.22,15.22,16.22,17.22,     ,
Karlstraße              ,    ,6.08,7.00,8.08,9.08,10.08,11.08,12.08,13.08,14.08,15.08,16.08,17.08,18.08,19.08,7.08,8.08,9.08,10.08,11.08,12.08,13.08,14.08,15.08,     ,16.23,17.23,18.23,19.08,     ,     ,     ,     ,    ,9.23 ,10.23,11.23,12.23,13.23,14.23,15.23,16.23,17.23,     ,
Oberes Tor              ,    ,6.09,7.01,8.09,9.09,10.09,11.09,12.09,13.09,14.09,15.09,16.09,17.09,18.09,19.09,7.09,8.09,9.09,10.09,11.09,12.09,13.09,14.09,15.09,     ,16.24,17.24,18.24,19.09,     ,     ,     ,     ,    ,9.24 ,10.24,11.24,12.24,13.24,14.24,15.24,16.24,17.24,     ,
Sonnenplatz             ,    ,6.15,7.07,8.15,9.15,10.15,11.15,12.15,13.15,14.15,15.15,16.15,17.15,18.15,19.15,7.15,8.15,9.15,10.15,11.15,12.15,13.15,14.15,15.15,     ,16.30,17.30,18.30,19.11,19.30,20.30,21.30,22.30,    ,9.30 ,10.30,11.30,12.30,13.30,14.30,15.30,16.30,17.30,18.30,19.30
Luitpoldstraße          ,    ,6.17,7.09,8.17,9.17,10.17,11.17,12.17,13.17,14.17,15.17,16.17,17.17,18.17,19.17,7.17,8.17,9.17,10.17,11.17,12.17,13.17,14.17,15.17,     ,16.32,17.32,18.32,19.17,19.32,20.32,21.32,22.32,    ,9.32 ,10.32,11.32,12.32,13.32,14.32,15.32,16.32,17.32,18.32,19.32
