1                           ,5    ,11
Sonnenplatz                 ,     ,19.15,20.15,19.00,19.30,20.00,20.30,21.30,22.30,18.00,19.00
Oberes Tor                  ,     ,19.17,20.17,19.02,19.32,20.02,20.32,21.32,22.32,18.02,19.02
Rathaus                     ,     ,19.19,20.19,19.04,19.34,20.04,20.34,21.34,22.34,18.04,19.04
Unteres Tor                 ,     ,19.20,20.20,19.05,19.35,20.05,20.35,21.35,22.35,18.05,19.05
Karolinenstraße             ,     ,19.21,20.21,19.06,19.36,20.06,20.36,21.36,22.36,18.06,19.06
Stadtwerke                  ,     ,19.22,20.22,19.07,19.37,20.07,20.37,21.37,22.37,18.07,19.07
Schloßweg                   ,     ,19.23,20.23,19.08,19.38,20.08,20.38,21.38,22.38,18.08,19.08
Krebsbachweg                ,     ,19.24,20.24,19.09,19.39,20.09,20.39,21.39,22.39,18.09,19.09
Hauptmannsweg               ,     ,19.25,20.25,19.10,19.40,20.10,20.40,21.40,22.40,18.10,19.10
Studentenberg               ,18.56,19.26,20.26,19.11,19.41,20.11,20.41,21.41,22.41,18.11,19.11
Hauptmannsweg               ,18.57,19.27,20.27,19.12,19.42,20.12,20.42,21.42,22.42,18.12,19.12
Krebsbachweg                ,18.58,19.28,20.28,19.13,19.43,20.13,20.43,21.43,22.43,18.13,19.13
Friedhof                    ,18.59,19.29,20.29,19.14,19.44,20.14,20.44,21.44,22.44,18.14,19.14
Friedhof Haupteingang       ,19.00,19.30,20.30,19.15,19.45,20.15,20.45,21.45,22.45,18.15,19.15
Zoo                         ,19.01,19.31,20.31,19.16,19.46,20.16,20.46,21.46,22.46,18.16,19.16
Friedhof Haupteingang       ,19.02,19.32,20.32,19.17,19.47,20.17,20.47,21.47,22.47,18.17,19.17
Theresienstein              ,19.04,19.34,20.34,19.19,19.49,20.19,20.49,21.49,22.49,18.19,19.19
Unteres Tor                 ,19.06,19.36,20.36,19.21,19.51,20.21,20.51,21.51,22.51,18.21,19.21
Rathaus                     ,19.07,19.37,20.37,19.22,19.52,20.22,20.52,21.52,22.52,18.22,19.22
Karlstraße                  ,19.08,19.38,20.38,19.23,19.53,20.23,20.53,21.53,22.53,18.23,19.23
Oberes Tor                  ,19.09,19.39,20.39,19.24,19.54,20.24,20.54,21.54,22.54,18.24,19.24
Sonnenplatz                 ,19.11,19.41,20.41,19.26,19.56,20.26,20.56,21.56,22.56,18.26,19.26
Sonnenplatz                 ,     ,19.45,20.45,     ,     ,     ,     ,21.00,22.00,18.30,19.30
HofBad                      ,     ,19.47,20.47,     ,     ,     ,     ,21.02,22.02,18.32,19.32
Oelsnitzer Straße           ,     ,19.49,20.49,     ,     ,     ,     ,21.04,22.04,18.34,19.34
Grüne Au                    ,     ,19.50,20.50,     ,     ,     ,     ,21.50,22.50,18.35,19.35
An der Joerdensanlage       ,     ,19.52,20.52,     ,     ,     ,     ,21.07,22.07,18.37,19.37
Jägersruh Döberlitzer Straße,     ,19.54,20.54,     ,     ,     ,     ,21.09,22.09,18.39,19.39
Jägersruh Forststraße       ,     ,19.55,20.55,     ,     ,     ,     ,21.10,22.10,18.40,19.40
Jägersruh Ostendstraße      ,     ,19.59,20.59,     ,     ,     ,     ,21.14,22.14,18.44,19.44
Jägersruh Döberlitzer Straße,     ,20.00,21.00,     ,     ,     ,     ,21.15,22.15,18.45,19.45
An der Joerdensanlage       ,     ,20.02,21.02,     ,     ,     ,     ,21.17,22.17,18.47,19.47
Pfarrhofstraße              ,     ,20.03,21.03,     ,     ,     ,     ,21.18,22.18,18.48,19.48
Wartturmweg                 ,     ,20.04,21.04,     ,     ,     ,     ,21.19,22.19,18.49,19.49
Grüne Au                    ,     ,20.05,21.05,     ,     ,     ,     ,21.20,22.20,18.50,19.50
Oelsnitzer Straße           ,     ,20.06,21.06,     ,     ,     ,     ,21.21,22.21,18.51,19.51
Jägerzeile                  ,     ,20.07,21.07,     ,     ,     ,     ,21.22,22.22,18.52,19.52
Gärtla                      ,     ,20.08,21.08,     ,     ,     ,     ,21.23,22.23,18.53,19.53
HofBad                      ,     ,20.09,21.09,     ,     ,     ,     ,21.24,22.24,18.54,19.54
Sonnenplatz                 ,     ,20.11,21.11,     ,     ,     ,     ,21.26,22.26,18.56,19.56
