1                    ,5    ,9
Sonnenplatz          ,19.45,20.45,21.45,22.45,19.30,20.30,21.30,22.30,18.30,19.30,,,,,,,,,,,,
Oberes Tor           ,19.47,20.47,21.47,22.47,     ,     ,21.32,22.32,18.32,19.32,,,,,,,,,,,,
Rathaus              ,19.49,20.49,21.49,22.49,     ,     ,21.34,22.34,18.34,19.34,,,,,,,,,,,,
Unteres Tor          ,19.50,20.50,21.50,22.50,     ,     ,21.35,22.35,18.35,19.35,,,,,,,,,,,,
HofBad               ,     ,     ,     ,     ,19.32,20.32,     ,     ,     ,     ,,,,,,,,,,,,,23.59
Ottostraße           ,     ,     ,     ,     ,19.34,20.34,     ,     ,     ,     ,,,,,,,,,,,,,23.59
Max-Blumtritt-Heim   ,     ,     ,     ,     ,19.35,20.35,     ,     ,     ,     ,,,,,,,,,,,,,23.59
Heiligengrabstraße   ,19.52,20.52,21.52,22.52,19.37,20.37,21.37,22.37,18.37,19.37,,,,,,,,,,,,
Johann-Weiß-Straße   ,19.53,20.53,21.53,22.53,19.38,20.38,21.38,22.38,18.38,19.38,,,,,,,,,,,,
Doebereinerstraße    ,19.54,20.54,21.54,22.54,19.39,20.39,21.39,22.39,18.39,19.39,,,,,,,,,,,,
Gabelsbergerstraße   ,19.55,20.55,21.55,22.55,19.40,20.40,21.40,22.40,18.40,19.40,,,,,,,,,,,,
Wirthstraße          ,19.56,20.56,21.56,22.56,19.41,20.41,21.41,22.41,18.41,19.41,,,,,,,,,,,,
Hochschule           ,19.57,20.57,21.57,22.57,19.42,20.42,21.42,22.42,18.42,19.42,,,,,,,,,,,,
Dr.-Bonhoeffer-Straße,19.58,20.58,21.58,22.58,19.43,20.43,21.43,22.43,18.43,19.43,,,,,,,,,,,,
Gabelsbergerstraße   ,19.59,20.59,21.59,22.59,19.44,20.44,21.44,22.44,18.44,19.44,,,,,,,,,,,,
Doebereinerstraße    ,20.0 ,     ,22.0 ,     ,     ,     ,     ,     ,     ,     ,,,,,,,,,,,,,23.59
Johann-Weiß-Straße   ,20.01,     ,22.01,     ,     ,     ,     ,     ,     ,     ,,,,,,,,,,,,,23.59
Heiligengrabstraße   ,20.02,     ,22.02,     ,     ,     ,     ,     ,     ,     ,,,,,,,,,,,,,23.59
Max-Blumtritt-Heim   ,20.03,     ,22.03,     ,     ,     ,     ,     ,     ,     ,,,,,,,,,,,,,23.59
Ottostraße           ,20.04,     ,22.04,     ,     ,     ,     ,     ,     ,     ,,,,,,,,,,,,,23.59
Leimitzgrundweg      ,     ,21.0 ,     ,23.0 ,19.45,20.45,21.45,22.45,18.45,19.45,,,,,,,,,,,,
Danzigstraße         ,     ,21.01,     ,23.01,19.46,20.46,21.46,22.46,18.46,19.46,,,,,,,,,,,,
Breslaustraße        ,     ,21.02,     ,23.02,19.47,20.47,21.47,22.47,18.47,19.47,,,,,,,,,,,,
Pinzigweg            ,     ,21.03,     ,23.03,19.48,20.48,21.48,22.48,18.48,19.48,,,,,,,,,,,,
Jägerzeile           ,     ,21.04,     ,23.04,19.49,20.49,21.49,22.49,18.49,19.49,,,,,,,,,,,,
Gärtla               ,     ,21.05,     ,23.05,19.50,20.50,21.50,22.50,18.50,19.50,,,,,,,,,,,,
HofBad               ,20.06,21.06,22.06,23.06,19.51,20.51,21.51,22.51,18.51,19.51,,,,,,,,,,,,
Königstraße          ,20.07,21.07,22.07,23.07,19.52,20.52,21.52,22.52,18.52,19.52,,,,,,,,,,,,
Rekkenzeplatz        ,20.08,21.08,22.08,23.08,19.53,20.53,21.53,22.53,18.53,19.53,,,,,,,,,,,,
Hauptbahnhof Hof     ,20.10,21.10,22.10,23.10,19.55,20.55,21.55,22.55,18.55,19.55,,,,,,,,,,,,
Liebigstraße         ,20.11,21.11,22.11,23.11,19.56,20.56,21.56,22.56,18.56,19.56,,,,,,,,,,,,
Bergstraße           ,20.12,21.12,22.12,23.12,19.57,20.57,21.57,22.57,18.57,19.57,,,,,,,,,,,,
Sonnenplatz          ,20.13,21.13,22.13,23.13,19.58,20.58,21.58,22.58,18.58,19.58,,,,,,,,,,,,
