1               ,6    ,10
Sonnenplatz     ,19.45,20.45,21.45,22.45,19.0 ,20.0 ,21.0 ,22.0 ,18.0 ,19.0
Luitpoldstraße  ,19.47,20.47,21.47,22.47,19.02,20.02,21.02,22.02,18.02,19.02
Berliner Platz  ,19.48,20.48,21.48,22.48,19.03,20.03,21.03,22.03,18.03,19.03
Freiheitshalle  ,19.49,20.49,21.49,22.49,19.04,20.04,21.04,22.04,18.04,19.04
Torhausstraße   ,19.51,20.51,21.51,22.51,19.06,20.06,21.06,22.06,18.06,19.06
Ziegelacker     ,19.52,20.52,21.52,22.52,19.07,20.07,21.07,22.07,18.07,19.07
Joensuustraße   ,19.53,20.53,21.53,22.53,19.08,20.08,21.08,22.08,18.08,19.08
Unterkotzau     ,19.54,20.54,21.54,22.54,19.09,20.09,21.09,22.09,18.09,19.09
Joensuustraße   ,19.55,20.55,21.55,22.55,19.10,20.10,21.10,22.10,18.10,19.10
Hofeck          ,19.56,20.56,21.56,22.56,19.11,20.11,21.11,22.11,18.11,19.11
Silberbergstraße,19.57,20.57,21.57,22.57,19.12,20.12,21.12,22.12,18.12,19.12
Am Milchhof     ,19.58,20.58,21.58,22.58,19.13,20.13,21.13,22.13,18.13,19.13
Konradskirche   ,19.59,20.59,21.59,22.59,19.14,20.14,21.14,22.14,18.14,19.14
Am Zelch        ,20.0 ,21.0 ,22.0 ,23.0 ,19.15,20.15,21.15,22.15,18.15,19.15
Schwalbenweg    ,20.01,21.01,22.01,23.01,19.16,20.16,21.16,22.16,18.16,19.16
Lerchenweg      ,20.02,21.02,22.02,23.02,19.17,20.17,21.17,22.17,18.17,19.17
Vogelherd       ,20.03,21.03,22.03,23.03,19.18,20.18,21.18,22.18,18.18,19.18
Lerchenweg      ,20.04,21.04,22.04,23.04,19.19,20.19,21.19,22.19,18.19,19.19
Schwalbenweg    ,20.05,21.05,22.05,23.05,19.20,20.20,21.20,22.20,18.20,19.20
Am Zelch        ,20.06,21.06,22.06,23.06,19.21,20.21,21.21,22.21,18.21,19.21
Konradskirche   ,20.07,21.07,22.07,23.07,19.22,20.22,21.22,22.22,18.22,19.22
Freiheitshalle  ,20.08,21.08,22.08,23.08,19.23,20.23,21.23,22.23,18.23,19.23
Theater         ,20.09,21.09,22.09,23.09,19.24,20.24,21.24,22.24,18.24,19.24
Kreuzsteinstraße,20.10,21.10,22.10,23.10,19.25,20.25,21.25,22.25,18.25,19.25
Sonnenplatz     ,20.12,21.12,22.12,23.12,19.27,20.27,21.27,22.27,18.27,19.27
