1                       ,30  ,43
Vogelherd               ,5.01,5.31,6.01,6.31,7.01,7.31,8.01,8.31,9.01,9.31 ,10.01,10.31,11.01,11.31,12.01,12.31,13.01,13.31,14.01,14.31,15.01,15.31,16.01,16.31,17.01,17.31,18.01,18.31,19.01,6.16,7.16,8.16,9.16 ,10.16,11.16,12.16,13.16,14.16,15.16,16.16,17.16,18.16,    ,9.16 ,10.16,11.16,12.16,13.16,14.16,15.16,16.16,17.16
Lerchenweg              ,5.02,5.32,6.02,6.32,7.02,7.32,8.02,8.32,9.02,9.32 ,10.02,10.32,11.02,11.32,12.02,12.32,13.02,13.32,14.02,14.32,15.02,15.32,16.02,16.32,17.02,17.32,18.02,18.32,19.02,6.17,7.17,8.17,9.17 ,10.17,11.17,12.17,13.17,14.17,15.17,16.17,17.17,18.17,    ,9.17 ,10.17,11.17,12.17,13.17,14.17,15.17,16.17,17.17
Schwalbenweg            ,5.03,5.33,6.03,6.33,7.03,7.33,8.03,8.33,9.03,9.33 ,10.03,10.33,11.03,11.33,12.03,12.33,13.03,13.33,14.03,14.33,15.03,15.33,16.03,16.33,17.03,17.33,18.03,18.33,19.03,6.18,7.18,8.18,9.18 ,10.18,11.18,12.18,13.18,14.18,15.18,16.18,17.18,18.18,    ,9.18 ,10.18,11.18,12.18,13.18,14.18,15.18,16.18,17.18
Am Zelch                ,5.04,5.34,6.04,6.34,7.04,7.34,8.04,8.34,9.04,9.34 ,10.04,10.34,11.04,11.34,12.04,12.34,13.04,13.34,14.04,14.34,15.04,15.34,16.04,16.34,17.04,17.34,18.04,18.34,19.04,6.19,7.19,8.19,9.19 ,10.19,11.19,12.19,13.19,14.19,15.19,16.19,17.19,18.19,    ,9.19 ,10.19,11.19,12.19,13.19,14.19,15.19,16.19,17.19
Konradskirche           ,5.06,5.36,6.06,6.36,7.06,7.36,8.06,8.36,9.06,9.36 ,10.06,10.36,11.06,11.36,12.06,12.36,13.06,13.36,14.06,14.36,15.06,15.36,16.06,16.36,17.06,17.36,18.06,18.36,19.06,6.21,7.21,8.21,9.21 ,10.21,11.21,12.21,13.21,14.21,15.21,16.21,17.21,18.21,    ,9.21 ,10.21,11.21,12.21,13.21,14.21,15.21,16.21,17.21
Freiheitshalle          ,5.07,5.37,6.07,6.37,7.07,7.37,8.07,8.37,9.07,9.37 ,10.07,10.37,11.07,11.37,12.07,12.37,13.07,13.37,14.07,14.37,15.07,15.37,16.07,16.37,17.07,17.37,18.07,18.37,19.07,6.22,7.22,8.22,9.22 ,10.22,11.22,12.22,13.22,14.22,15.22,16.22,17.22,18.22,    ,9.22 ,10.22,11.22,12.22,13.22,14.22,15.22,16.22,17.22
Berliner Platz          ,5.09,5.39,6.09,6.39,7.09,7.39,8.09,8.39,9.09,9.39 ,10.09,10.39,11.09,11.39,12.09,12.39,13.09,13.39,14.09,14.39,15.09,15.39,16.09,16.39,17.09,17.39,18.09,18.39,19.09,6.24,7.24,8.24,9.24 ,10.24,11.24,12.24,13.24,14.24,15.24,16.24,17.24,18.24,    ,9.24 ,10.24,11.24,12.24,13.24,14.24,15.24,16.24,17.24
Luitpoldstraße          ,5.10,5.40,6.10,6.40,7.10,7.40,8.10,8.40,9.10,9.40 ,10.10,10.40,11.10,11.40,12.10,12.40,13.10,13.40,14.10,14.40,15.10,15.40,16.10,16.40,17.10,17.40,18.10,18.40,19.10,6.25,7.25,8.25,9.25 ,10.25,11.25,12.25,13.25,14.25,15.25,16.25,17.25,18.25,    ,9.25 ,10.25,11.25,12.25,13.25,14.25,15.25,16.25,17.25
Sonnenplatz             ,5.15,5.45,6.15,6.45,7.15,7.45,8.15,8.45,9.15,9.45 ,10.15,10.45,11.15,11.45,12.15,12.45,13.15,13.45,14.15,14.45,15.15,15.45,16.15,16.45,17.15,17.45,18.15,18.45,19.11,6.30,7.30,8.30,9.30 ,10.30,11.30,12.30,13.30,14.30,15.30,16.30,17.30,18.30,    ,9.30 ,10.30,11.30,12.30,13.30,14.30,15.30,16.30,17.30
Bergstraße              ,5.16,5.46,6.16,6.46,7.16,7.46,8.16,8.46,9.16,9.46 ,10.16,10.46,11.16,11.46,12.16,12.46,13.16,13.46,14.16,14.46,15.16,15.46,16.16,16.46,17.16,17.46,18.16,18.46,     ,6.31,7.31,8.31,9.31 ,10.31,11.31,12.31,13.31,14.31,15.31,16.31,17.31,18.31,    ,9.31 ,10.31,11.31,12.31,13.31,14.31,15.31,16.31,17.31
