1                    ,28   ,41
Hochschule           ,5.52 ,6.22 ,6.52,7.22,7.52,8.22,8.52,9.22 ,9.52 ,10.22,10.52,11.22,11.52,12.22,12.52,13.22,13.52,14.22,14.52,15.22,15.52,16.22,16.52,17.22,17.52,18.22,18.48,    ,7.30,8.30,9.30 ,10.30,11.30,12.30,13.30,14.30,15.30,16.30,17.30,18.30,     ,8.43,9.13 ,9.43 ,10.13,10.43,11.13,11.43,12.13,12.43,13.13,13.43,14.13,14.43,15.13,15.43,16.13,16.43,17.13,17.43,
Wirthstraße          ,     ,     ,    ,    ,    ,    ,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,8.44,9.14 ,9.44 ,10.14,10.44,11.14,11.44,12.14,12.44,13.14,13.44,14.14,14.44,15.14,15.44,16.14,16.44,17.14,17.44,
Dr.-Bonhoeffer-Straße,5.53 ,6.23 ,6.53,7.23,7.53,8.23,8.53,9.23 ,9.53 ,10.23,10.53,11.23,11.53,12.23,12.53,13.23,13.53,14.23,14.53,15.23,15.53,16.23,16.53,17.23,17.53,18.23,18.49,    ,7.31,8.31,9.31 ,10.31,11.31,12.31,13.31,14.31,15.31,16.31,17.31,18.31,     ,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
Gabelsbergerstraße   ,5.54 ,6.24 ,6.54,7.24,7.54,8.24,8.54,9.24 ,9.54 ,10.24,10.54,11.24,11.54,12.24,12.54,13.24,13.54,14.24,14.54,15.24,15.54,16.24,16.54,17.24,17.54,18.24,18.50,    ,7.32,8.32,9.32 ,10.32,11.32,12.32,13.32,14.32,15.32,16.32,17.32,18.32,     ,8.45,9.15 ,9.45 ,10.15,10.45,11.15,11.45,12.15,12.45,13.15,13.45,14.15,14.45,15.15,15.45,16.15,16.45,17.15,17.45,
Doebereinerstraße    ,5.55 ,6.25 ,6.55,7.25,7.55,8.25,8.55,9.25 ,9.55 ,10.25,10.55,11.25,11.55,12.25,12.55,13.25,13.55,14.25,14.55,15.25,15.55,16.25,16.55,17.25,17.55,18.25,18.51,    ,7.33,8.33,9.33 ,10.33,11.33,12.33,13.33,14.33,15.33,16.33,17.33,18.33,     ,8.46,9.16 ,9.46 ,10.16,10.46,11.16,11.46,12.16,12.46,13.16,13.46,14.16,14.46,15.16,15.46,16.16,16.46,17.16,17.46,
Johann-Weiß-Straße   ,5.56 ,6.26 ,6.56,7.26,7.56,8.26,8.56,9.26 ,9.56 ,10.26,10.56,11.26,11.56,12.26,12.56,13.26,13.56,14.26,14.56,15.26,15.56,16.26,16.56,17.26,17.56,18.26,18.52,    ,7.34,8.34,9.34 ,10.34,11.34,12.34,13.34,14.34,15.34,16.34,17.34,18.34,     ,8.47,9.17 ,9.47 ,10.17,10.47,11.17,11.47,12.17,12.47,13.17,13.47,14.17,14.47,15.17,15.47,16.17,16.47,17.17,17.47,
Heiligengrabstraße   ,5.56 ,6.26 ,6.56,7.26,7.56,8.26,8.56,9.26 ,9.56 ,10.26,10.56,11.26,11.56,12.26,12.56,13.26,13.56,14.26,14.56,15.26,15.56,16.26,16.56,17.26,17.56,18.26,18.52,    ,7.34,8.34,9.34 ,10.34,11.34,12.34,13.34,14.34,15.34,16.34,17.34,18.34,     ,8.47,9.17 ,9.47 ,10.17,10.47,11.17,11.47,12.17,12.47,13.17,13.47,14.17,14.47,15.17,15.47,16.17,16.47,17.17,17.47,
Unteres Tor          ,5.58 ,6.28 ,6.58,7.28,7.58,8.28,8.58,9.28 ,9.58 ,10.28,10.58,11.28,11.58,12.28,12.58,13.28,13.58,14.28,14.58,15.28,15.58,16.28,16.58,17.28,17.58,18.28,18.54,    ,7.36,8.36,9.36 ,10.36,11.36,12.36,13.36,14.36,15.36,16.36,17.36,18.36,     ,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
Rathaus              ,5.59 ,6.29 ,6.59,7.29,7.59,8.29,8.59,9.29 ,9.59 ,10.29,10.59,11.29,11.59,12.29,12.59,13.29,13.59,14.29,14.59,15.29,15.59,16.29,16.59,17.29,17.59,18.29,18.55,    ,7.37,8.37,9.37 ,10.37,11.37,12.37,13.37,14.37,15.37,16.37,17.37,18.37,     ,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
Karlstraße           ,6.00 ,6.30 ,7.00,7.30,8.00,8.30,9.00,9.30 ,10.00,10.30,11.00,11.30,12.00,12.30,13.00,13.30,14.00,14.30,15.00,15.30,16.00,16.30,17.00,17.30,18.00,18.30,18.56,    ,7.38,8.38,9.38 ,10.38,11.38,12.38,13.38,14.38,15.38,16.38,17.38,18.38,     ,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
Oberes Tor           ,06.01,6.31 ,7.01,7.31,8.01,8.31,9.01,9.31 ,10.01,10.31,11.01,11.31,12.01,12.31,13.01,13.31,14.01,14.31,15.01,15.31,16.01,16.31,17.01,17.31,18.01,18.31,18.57,    ,7.39,8.39,9.39 ,10.39,11.39,12.39,13.39,14.39,15.39,16.39,17.39,18.39,     ,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
Sonnenplatz          ,06.03,6.33 ,7.03,7.33,8.03,8.33,9.03,9.33 ,10.03,10.33,11.03,11.33,12.03,12.33,13.03,13.33,14.03,14.33,15.03,15.33,16.03,16.33,17.03,17.33,18.03,18.33,18.59,    ,7.41,8.41,9.41 ,10.41,11.41,12.41,13.41,14.41,15.41,16.41,17.41,18.41,     ,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,
Max-Blumtritt-Heim   ,     ,     ,    ,    ,    ,    ,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,8.48,9.18 ,9.48 ,10.18,10.48,11.18,11.48,12.18,12.48,13.18,13.48,14.18,14.48,15.18,15.48,16.18,16.48,17.18,17.48,
Ottostraße           ,     ,     ,    ,    ,    ,    ,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,8.49,9.19 ,9.49 ,10.19,10.49,11.19,11.49,12.19,12.49,13.19,13.49,14.19,14.49,15.19,15.49,16.19,16.49,17.19,17.49,
